User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,JoinMonthYear
1,Basic,10,2022-01-15,2023-06-10,United States,28,Male,Smartphone,1 Month,2022-01
2,Premium,15,2021-09-05,2023-06-22,Canada,35,Female,Tablet,1 Month,2021-09
3,Standard,12,2023-02-28,2023-06-27,United Kingdom,42,Male,Smart TV,1 Month,2023-02
4,Standard,12,2022-07-10,2023-06-26,Australia,51,Female,Laptop,1 Month,2022-07
5,Basic,10,2023-05-01,2023-06-28,Germany,33,Male,Smartphone,1 Month,2023-05
6,Premium,15,2022-03-18,2023-06-27,France,29,Female,Smart TV,1 Month,2022-03
7,Standard,12,2021-12-09,2023-06-25,Brazil,46,Male,Tablet,1 Month,2021-12
8,Basic,10,2023-04-02,2023-06-24,Mexico,39,Female,Laptop,1 Month,2023-04
9,Standard,12,2022-10-20,2023-06-23,Spain,37,Male,Smartphone,1 Month,2022-10
10,Premium,15,2023-01-07,2023-06-22,Italy,44,Female,Smart TV,1 Month,2023-01
11,Basic,10,2022-05-16,2023-06-22,United States,31,Female,Smartphone,1 Month,2022-05
12,Premium,15,2023-03-23,2023-06-28,Canada,45,Male,Tablet,1 Month,2023-03
13,Standard,12,2021-11-30,2023-06-27,United Kingdom,48,Female,Laptop,1 Month,2021-11
14,Basic,10,2022-08-01,2023-06-26,Australia,27,Male,Smartphone,1 Month,2022-08
15,Standard,12,2023-05-09,2023-06-28,Germany,38,Female,Smart TV,1 Month,2023-05
16,Premium,15,2022-04-07,2023-06-27,France,36,Male,Tablet,1 Month,2022-04
17,Basic,10,2022-01-24,2023-06-25,Brazil,30,Female,Laptop,1 Month,2022-01
18,Standard,12,2021-10-18,2023-06-24,Mexico,43,Male,Smartphone,1 Month,2021-10
19,Premium,15,2023-02-15,2023-06-23,Spain,32,Female,Smart TV,1 Month,2023-02
20,Basic,10,2023-05-27,2023-06-22,Italy,41,Male,Tablet,1 Month,2023-05
